Song,URL
Laid James,https://www.youtube.com/watch?v=5yXqRiXMru0
In Over My Head grandson,https://www.youtube.com/watch?v=FNgmDfLbOi0
On The Luna Foals,https://www.youtube.com/watch?v=XDlPqNNIvV4
She Said Longpigs,https://www.youtube.com/watch?v=dutG1mcfkpo
Sure Shot Beastie Boys,https://www.youtube.com/watch?v=JhqyZeUlE8U
"Liar, Liar Castaways",https://www.youtube.com/watch?v=DDEdFxUZ01s
Ain’t Got No Money Justin Townes Earle,https://www.youtube.com/watch?v=Dvd15bFIKJQ
Human Performance Parquet Courts,https://www.youtube.com/watch?v=Aiex9fYyuQg
I Will Dare The Replacements,https://www.youtube.com/watch?v=0cjVMOvJywk
Fun at the Geysers Mourn,https://www.youtube.com/watch?v=4RY2L7sr1So
Soapbox Brent Cobb,https://www.youtube.com/watch?v=W3wZ4gzakqA
The Wall & I Nation of Language,https://www.youtube.com/watch?v=HN0PGJneSUM
Cannonball The Breeders,https://www.youtube.com/watch?v=fxvkI9MTQw4
Your Light The Big Moon,https://www.youtube.com/watch?v=1OijD72t4XY
Club Foot Kasabian,https://www.youtube.com/watch?v=lk5iMgG-WJI
Lilacs Waxahatchee,https://www.youtube.com/watch?v=OaA7I7B1pOk
Happy (God’s Own Country) Sports Team,https://www.youtube.com/watch?v=uYVsEMPwmA8
London Calling - Remastered The Clash,https://www.youtube.com/watch?v=EfK-WX2pa8c
Head Cheerleader Pom Pom Squad,https://www.youtube.com/watch?v=6clF3e1m80U
Hold It Down Island Apollo,https://www.youtube.com/watch?v=uQFbC06GBFk
Start Choppin' Dinosaur Jr.,https://www.youtube.com/watch?v=GbD1sZj8BbA
Crawling Kingsnake - Edit The Black Keys,https://www.youtube.com/watch?v=nb2jozdFk8w
Dudun-Dun - Boys Noize Remix Para One,https://www.youtube.com/watch?v=cY3nb43sHp0
Sunny Afternoon Benny Sings,https://www.youtube.com/watch?v=SDcyUj9hSU4
Hate To Say I Told You So The Hives,https://www.youtube.com/watch?v=Uz1Jwyxd4tE
Hit The Wannadies,https://www.youtube.com/watch?v=YFq5YucL_iE
Funnel Of Love Wanda Jackson,https://www.youtube.com/watch?v=BXV19NfP3hA
Someday Pale Seas,https://www.youtube.com/watch?v=JkDLsq9lzsk
Drifting Circles Anne Müller,https://www.youtube.com/watch?v=agm9Wv4Ot7Y
Destroyer Lala Lala,https://www.youtube.com/watch?v=zIVCyZEwFVw
Someday The Strokes,https://www.youtube.com/watch?v=knU9gRUWCno
Deja Bomba Estéreo,https://www.youtube.com/watch?v=cIugIFbwi70
